star_id,movie_id
855106,634009
855108,634009
658008,658001
693100,658001
658007,658003
658013,658003
658012,658004
658010,658006
658018,658006
658019,658006
693100,658008
788010,658008
658001,658009
764014,671001
764014,671002
764014,671003
755006,671004
671103,671006
788010,671007
671105,671009
788006,671010
671107,671011
693116,671013
693116,671014
671109,671015
671109,671016
671109,671017
755003,671019
525101,671020
755003,671020
631009,683001
631010,683001
631014,683001
683001,683001
683002,683001
683001,683002
683013,683002
683014,683002
140012,683003
140014,683003
140016,683003
140017,683003
683003,683003
683008,683003
683004,683004
683018,683004
683019,683004
683001,683005
683021,683005
755016,683005
855105,683006
855106,683006
855108,683006
683007,683007
683008,683007
683020,683007
872002,683008
683010,683009
693100,693000
693106,693000
693119,693000
48002,693001
412026,693001
412027,693001
490002,693001
693101,693001
412005,693003
693103,693003
693109,693003
788006,693003
855105,693003
855106,693003
855108,693003
693104,693004
693100,693005
693106,693005
693111,693005
907000,693005
693100,693006
693112,693006
693113,693006
658014,693007
693115,693007
788010,693007
693116,693008
693117,693009
755012,755001
755001,755003
755015,755003
755005,755004
658003,755005
755014,755005
872008,755005
140014,755006
412005,755006
788006,755006
855105,755006
855106,755006
855108,755006
755003,755007
855106,755008
755007,755009
755016,755009
755017,755009
755011,755010
634002,755012
634005,755012
755010,755012
755013,755013
755014,755014
755015,755014
764001,764001
764011,764001
764012,764001
764013,764001
764014,764001
764015,764001
764016,764001
634003,764002
764002,764002
855106,764002
48006,764003
48015,764003
764003,764003
788009,764004
156023,764005
755008,764005
764005,764005
764007,764007
764008,764008
764017,764008
764018,764008
764019,764008
764020,764008
764009,764009
48004,764010
48014,764010
492108,764010
658011,764010
693109,764010
855106,764010
855108,764010
788001,788001
788002,788002
788007,788004
872006,788004
788002,788005
788006,788005
788009,788007
788003,788008
872008,788009
48007,788010
658011,788010
658015,788010
755006,788011
788011,788012
658016,788013
658017,788013
788003,788013
788001,788014
788003,788014
788010,788015
872006,788015
788001,788016
788006,788016
872006,788016
788001,788017
788010,788017
693109,788018
788010,788018
855100,855001
855101,855001
855101,855002
855102,855002
490006,855003
855103,855003
855104,855003
855104,855004
855105,855004
855105,855005
855106,855005
855107,855005
855108,855005
693109,855006
855107,855006
855108,855006
855109,855007
855110,855007
855109,855008
855111,855008
855110,855009
855112,855009
412019,872001
872001,872001
872002,872002
48003,872003
48016,872003
326112,872003
693108,872003
693118,872003
764006,872003
872003,872003
872003,872004
872004,872004
326112,872005
872003,872005
872004,872005
872005,872005
683016,872006
693113,872006
872005,872006
872006,872006
872006,872007
872007,872007
872007,872008
872008,872008
872008,872009
872009,872009
872009,872010
872010,872010
872010,872011
872011,872011
872011,872012
907000,907000
907009,907000
907001,907001
907008,907001
907002,907002
907007,907002
907003,907003
907006,907003
907004,907004
907005,907004
907004,907005
907005,907005
907003,907006
907006,907006
412029,907007
412030,907007
412031,907007
412032,907007
788009,907007
907002,907007
907007,907007
907001,907008
907008,907008
907000,907009
907009,907009
